id,name,tag
2161696,他其实没那么喜欢你 He's Just Not That Into You,"爱情,爱情,ScarlettJohansson,剧情,喜剧,他其实没那么喜欢你,He's,Just,Not,That,Into,You,肯·卡皮斯,美国,德国,荷兰,詹妮弗,安妮斯顿,本,"
3792799,岁月神偷 歲月神偷,"年代,香港,内地,运动,年代,香港,剧情,家庭,岁月神偷,歲月神偷,罗启锐,中国香港,中国大陆,吴君如,任达华,钟绍图,"
1291571,指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,"冒险,探险,冒险,奇幻,传奇,动作,勇气,剧情,史诗,指环王1：护戒使者,The,Lord,of,the,Rings:,The,Fellowship,of,the,Ring,彼得·杰克逊,新西兰,美国,伊利亚,伍德,西恩,"
1783772,"巴黎，我爱你 Paris, je t'aime","情感,爱情,法国,短片,喜剧,剧情,巴黎，我爱你,Paris,,je,t'aime,奥利维耶·阿萨亚斯伊桑·科恩乔尔·科恩格斯·范·桑特汤姆·提克威沃尔特·塞勒斯亚历山大·佩恩杜可风热拉尔·德帕迪约阿方索·卡隆诹访敦彦希尔万·肖默韦斯·克雷文伊莎贝尔·科赛特顾伦德·查达哈文森佐·纳塔利,法国,列支敦士登,瑞士,德国,美国,朱丽叶,比诺什,威廉,"
1961963,长江七号,"喜剧,科幻,长江七号,周星驰,中国大陆,中国香港,周星驰,徐娇,张雨绮,"
3596502,唐山大地震,"剧情,历史,灾难,唐山大地震,冯小刚,中国大陆,中国香港,徐帆,张静初,李晨,"
1306029,美丽心灵 A Beautiful Mind,"剧情,传记,佳片,美丽心灵,A,Beautiful,Mind,朗·霍华德,美国,罗素,克劳,艾德,"
1309043,金刚 King Kong,"动作,奇幻,冒险,金刚,King,Kong,彼得·杰克逊,新西兰,美国,德国,安迪,瑟金斯,娜奥米,"
4066206,全城热恋,"香港,香港,北京,爱情,喜剧,全城热恋,夏永康陈国辉,中国香港,美国,中国大陆,张学友,刘若英,谢霆锋,"
1292365,活着,"运动,剧情,历史,家庭,中国,活着,张艺谋,中国大陆,中国香港,葛优,巩俐,姜武,"
1498818,通天塔 Babel,"日本,美国,美国,日本,生活,剧情,通天塔,Babel,亚利桑德罗·冈萨雷斯·伊纳里多,法国,美国,墨西哥,布拉德,皮特,凯特,"
1300267,乱世佳人 Gone with the Wind,"美国,战争,生活,战争,生活,剧情,爱情,历史,乱世佳人,Gone,with,the,Wind,维克多·弗莱明乔治·库克山姆·伍德,美国,费雯,丽,克拉克,"
1438652,无耻混蛋 Inglourious Basterds,"二战,法国,美国,法国,德国,德国,德国,犯罪,酷电影,黑色,剧情,tarantino,无耻混蛋,Inglourious,Basterds,昆汀·塔伦蒂诺,德国,美国,布拉德,皮特,梅拉尼,"
1308779,后天 The Day After Tomorrow,"美国,美国,灾难,科幻,后天,The,Day,After,Tomorrow,罗兰·艾默里奇,美国,丹尼斯,奎德,杰克,"
3077791,在云端 Up in the Air,"美国,剧情,喜剧,爱情,在云端,Up,in,the,Air,贾森·雷特曼,美国,乔治,克鲁尼,安娜,"
